Spectral_Type,Object_Name,Source_Designation,SpeX_Classification,Wavelength_um,Normalized_Flux,Telluric_Region,Normalization_Region
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.8163,0.46874691264942775,True,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.81996,0.4651785853564687,True,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.82362,0.4654294732134965,True,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.82727,0.4477555286324142,True,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.83092,0.4409763567443336,True,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.83456,0.46237202119417425,True,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.83819,0.4274232127165045,True,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.84182,0.4298358959426364,True,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.84544,0.4297241013534945,True,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.84906,0.4240108778735109,True,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.85267,0.4348822516990178,True,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.85628,0.41987057826401203,True,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.85988,0.4115951787933464,True,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.86347,0.3951808732457349,True,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.86706,0.37289605183109137,True,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.87064,0.3938224389939527,True,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.87422,0.4083245370924047,True,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.87779,0.4017091572767878,True,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.88136,0.4074613788692627,True,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.88492,0.4211302172974828,True,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.88848,0.4588530915103709,True,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.89203,0.4206583401363374,True,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.89557,0.41204235714991394,True,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.89911,0.4051630901064388,True,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.90265,0.41413525585361666,True,False
